Collection;Source;Description-projet;tilte;Linked in item;Publisher;Creator;Contributor;Format;Type;Langage;Description0;Date;Coverage;Coverage2;Subject;Description;Description3;Œuvres citées - références;Lieux cités;Description6;Rights;License
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;11 janvier 1961;ARL34;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-01-11;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Personnel;Jean Duvignaud donne son avis sur des œuvres de Arland, Marcel. L'envoi d'articles à la N.R.F. est également abordé.;;Arland, Marcel, 'Sur un nouveau mal du siècle', NRF, n°125, 1924;108 avenue Bourguiba - Carthage - Tunisie | Clinique Hartmann - 26 boulevard Victor Hugo - Neuilly sur Seine;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;16 janvier 1961;ARL35;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-01-16;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Personnel;Jean Duvignaud informe Arland, Marcel de sa méthode de relecture et d'analyse de ses textes en vue d'écrire sa biographie littéraire.;;;108 avenue Bourguiba - Carthage - Tunisie | Clinique Hartmann - 26 boulevard Victor Hugo - Neuilly sur Seine;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;1961;ARL36;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-05-14;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Personnel;Jean Duvignaud demande à Arland, Janine des nouvelles de son mari qui s'est fait opéré, et l'informe de ses avancées dans la lecture de son œuvre.;Personnes citées : Arland, Marcel (1899-1986);"Arland, Marcel, Terres étrangères, Gallimard, 1923 |
Arland, Marcel, Etienne, Gallimard, 1924 |
Arland, Marcel, La vigie, Gallimard, 1935";108 avenue Bourguiba - Carthage - Tunisie | Clinique Hartmann - 26 boulevard Victor Hugo - Neuilly sur Seine;Centre d'Etudes de Sciences Sociales - Université de Tunis;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;27 janvier 1961;ARL37;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-01-27;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire | Personnel;Jean Duvignaud demande à Arland, Janine des nouvelles de son mari qui s'est fait opéré, et l'informe de ses avancées dans la lecture de son œuvre. Il évoque ses prochaines contributions à la N.R.F.;Personnes citées : Arland, Marcel (1899-1986) | Aury, Dominique (1907-1998) | Nabokov, Vladimir (1925-1977) | Leiris, Michel ( 1901-1990) | Parain, Brice (1897-1971) | Jung, Carl Gustav (1875-1961);Arland, Marcel, Zélie dans le désert, Gallimard, 1944;108 avenue Bourguiba - Carthage - Tunisie | 9 rue Saint Romain - Paris (France) VIe;N.R.F. (1919-) | Centre d'Etudes de Sciences Sociales - Université de Tunis;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;03 février 1961;ARL38;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-02-03;France | Tunisie;1948-1983;Biographie de Arland, Marcel  | Personnel;Jean Duvignaud informe Marcel et Jeanine Arland de l'avancée de ses lectures et donne un avis enthousiaste sur certaines d'entre-elles.;Personnes citées : Arland, Marcel (1899-1986) | Aury, Dominique (1907-1998) | Nabokov, Vladimir (1925-1977) | Leiris, Michel ( 1901-1990) | Parain, Brice (1897-1971) | Jung, Carl Gustav (1875-1961);"Arland, Marcel, Je vous écris, Gallimard, 1967 |
Arland, Marcel, Il faut de tout pour faire un monde, Gallimard, 1947 |
Arland, Marcel, La Consolation du voyageur, Stock, 1952";108 avenue Bourguiba - Carthage - Tunisie | 9 rue Saint Romain - Paris (France) VIe;N.R.F. (1919-) | Centre d'Etudes de Sciences Sociales - Université de Tunis;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;06 mars 1961;ARL39;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-03-06;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire | Personnel;Jean Duvignaud s'informe de la santé de Arland, Marcel. Il dit avoir interrompu son travail pour se rendre dans les oasis du sud du pays. | Notes : La visite de Jean Duvignaud dans les oasis du sud préfigure son travail sociologique sur Chebika.;Personnes citées : Astier, Christine;;108 avenue Bourguiba - Carthage (Tunisie) | 9 rue Saint Romain - Paris (France) Vie | Tozeur | Nephta [Nefta];;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;30 mars 1961;ARL40;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-03-30;France | Tunisie;1948-1983;Personnel;;;;Dakkar (Sénégal) | Carthage (Tunisie) | Paris (France);Editions Gallimard;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;29 avril 1961;ARL41;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Astier, Christine;Support : Papier sans filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-04-29;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire | Personnel;Jean Duvignaud achève son livre sur Arland, Marcel.;;;108 avenue Bourguiba - Carthage - Tunisie | Brinville | Ponthierry;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;04 mai 1961;ARL42;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-05-04;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire | Personnel;Jean Duvignaud envisage des portraits écrits par d'autres écrivains pour la première partie de son livre sur Arland, Marcel.;Personnes citées : Lambrichs, Georges (1917-1992) | Aury, Dominique (1907-1998) | Paulhan, Jean (1884-1968) | Berger, Yves (1931-2004);;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;22 mai 1961;ARL43;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-05-22;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire | Personnel;Jean Duvignaud informe Arland, Marcel qu'il a achevé le livre sur lui.;Personnes citées : Astier, Christine | Aury, Dominique (1907-1998) | Arland, Janine;;Brinville | Paris (France) | Hollande;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;08 juin 1961;ARL44;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-06-08;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Chronique littéraire;;Personnes citées :  Paulhan, Jean (1884-1968) | Aury, Dominique (1907-1998) | Grosjean, Jean (1912-2006) | Arland, Janine | Lambrichs, Georges (1917-1992);Arland, Marcel, Il faut de tout pour faire un monde, Gallimard, 1947;108 avenue Bourguiba - Carthage - Tunisie;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;28 juillet 1961;ARL45;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-07-28;France | Brésil;1948-1983;Critique littéraire | Personnel;Jean Duvignaud est au Brésil. Il ne peut rentrer en Tunisie car le pays est en conflit avec la France (crise de Bizerte). | Notes : Il manque une page;Personnes citées : Lambrichs, Georges (1917-1992);;Centro Latino Americano de Pesquisas en Ciencias Sociais - Praia Vermelha - Rio de Janeiro - Brésil;Centro Latino Americano de Pesquisas en Ciencias Sociais - Rio de Janeiro;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;17 aout 1961;ARL46;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 4 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-08-17;France | Brésil;1948-1983;Biographie de Arland, Marcel | Brésil | Tunisie | N.R.F. (1919-);Jean Duvignaud est toujours au Brésil, il décrit les paysages et explique qu'il ne peut toujours pas retourner en Tunisie. On apprend que ce séjour au Brésil s'effectue dans le cadre son premier contrat de mission avec l'UNESCO (Juin-Septembre 1961).;Personnes citées : Astier, Christine | Arland, Janine;Jean Duvignaud, Arland, Marcel, Gallimard, Coll. 'La bibliothèque idéale', 1962;Carthage | Brasilia | Rio de Janeiro | Paris (France) | Lima | Mexico | New York | 431 avenida Pasteur - Praia Vermelha - Rio de Janeiro - Brésil |;N.R.F. (1919-) | UNESCO;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;26 aout 1961;ARL47;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-08-26;France | Brésil;1948-1983;Biographie de Arland, Marcel | Brésil | N.R.F. (1919-) | Chronique sociologique;;Personnes citées : Mallet, Robert (1915-2002) | Grosjean, Jean (1912-2006) | Astier, Christine;Janheinz Jahn, Muntu. L'homme africain et la culture néo-africaine, Le Seuil, 1961;Sao Paulo | Rio de Janeiro | 431 avenida Pasteur - Praia Vermelha - Rio de Janeiro - Brésil;N.R.F. (1919-) | Centro Latino Americano de Pesquisas en Ciencias Sociais - Rio de Janeiro;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;03 septembre 1961;ARL48;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-09-03;France | Brésil;1948-1983;Biographie de Arland, Marcel | Brésil | N.R.F. (1919-) | Chronique sociologique;;Personnes citées : Grosjean, Jean (1912-2006) | Bernanos, Georges (1888-1948) | Lambrichs, Georges (1917-1992);;5 rue Sébastien Bottin - Paris (France) VIIe | 431 avenida Pasteur - Praia Vermelha - Rio de Janeiro - Brésil;Unesco;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;01 novembre 1961;ARL49;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-11-01;France | Tunisie;1948-1983;Tunisie | Chronique sociologique;;Personnes citées : Astier, Christine;Georges Poulet, Les métamorphoses du cercle, Plon, 1961;108 avenue Bourguiba - Carthage - Tunisie;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;27 novembre 1961;ARL50;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1961-11-27;France | Tunisie;1948-1983;Chronique sociologique | Biographie de Arland, Marcel | N.R.F. (1919-);;;Georges Duveau, Sociologie de l'utopie et autres 'essais', P.U.F., 1961;Rio | Marseille | Tunisie;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;23 février 1962;ARL51;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-02-23;France | Tunisie;1948-1983;Biographie de Arland, Marcel | N.R.F. (1919-) | Chronique sociologique;;Personnes citées : Astier, Christine;Henri Lefebvre, Critique de la vie quotidienne II : Fondements d'une sociologie de la quotidienneté, Grasset, 1961;Paris (France);N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;03 avril 1962;ARL52;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-04-03;France | Tunisie;1948-1983;Biographie de Arland, Marcel | Critique littéraire | Carrière diplomatique;;Personnes citées : Abirached, Robert (1930-2021) | de Lescure, Pierre (1891-1963) | Lambrichs, Georges (1917-1992) | Gallimard, Claude (1914-1991) | Gallimard, Gaston (1881-1975);;Rio de Janeiro | Mexico | Lima;L'Express | Ministère des Affaires Etrangères [Quai d'Orsay];Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 avril 1962;ARL53;Projet ESR - ESNA;Arland, Marcel (1899-1986);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-04-12;France;1948-1983;Carrière diplomatique;Notes : Ce brouillon de la main de Arland, Marcel est pour appuyer la candidature de Jean Duvignaud à un poste d'attaché culturel à Rio, Lima ou Mexico.;Personnes citées : Lambrichs, Georges (1917-1992);;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;15 mai 1962;ARL54;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-05-15;France | Tunisie;1948-1983;Thèse de Jean Duvignaud | Sociologie du Théâtre | Carrière diplomatique | Chronique sociologique;;;Edgar Morin, L'esprit du temps. Essai sur la culture de masse, Grasset-Fasquelle, 1962 | Franck Jotterrand, ‎J’aime le cinéma‎, Editions Rencontres, 1962;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;15 juin 1962;ARL55;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-06-15;France | Tunisie;1948-1983;Thèse de Jean Duvignaud | Chronique sociologique | Carrière diplomatique;Notes : Dans cette lettre, Jean Duvignaud dit envisager d'envoyer un texte très critique sur La Pensée sauvage. C'est la seconde fois qu'il critique C. Lévi-Strauss (en 1958, il publie dans les Lettres Nouvelles 'Le vicaire des tropiques'). Dans Le Pandémonium du présent (Plon, 1998), Jean Duvignaud reproduit ses échanges avec C. Lévi-Strauss suite à l'article des Lettres Nouvelles.;;Lévi-Strauss, Claude, La Pensée sauvage, Plon, 1962;Montevideo (Uruguay) | Paris (France);N.R.F. (1919-) | Unesco;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;20 aout 1964;ARL56;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1964-08-20;France | Tunisie;1948-1983;Carrière universitaire | Chronique sociologique | Vie culturelle;;Personnes citées : Lemarchand, Jacques (1908-1974) | Arland, Janine | Astier, Christine;Aron, Raymond, La lutte des classes, Gallimard, 1964 | Lucien Goldmann, Pour une sociologie du roman, Gallimard, 1956 (réimpr. 1964);Sidi Bou Said | 5 rue Sébastien Bottin - Paris (France) VIIe | Ile de Ré | Orléans | Montréal (Québec) | Quai d'Orsay;N.R.F. (1919-) | Quai d'Orsay | Princeton University (USA);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 aout 1962;ARL57;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Astier, Christine;Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-08-12;France | Pérou;1948-1983;Personnel | Chronique sociologique;;Personnes citées : Arland, Janine | Astier, Christine | Lévi-Strauss, Claude (1908-2009);;5 rue Sébastien Bottin - Paris (France) VIIe | Cuzco - Machu-Picchu (Pérou) | Bolivie;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;28 septembre 1962;ARL58;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-09-28;France | Uruguay;1948-1983;Personnel | Voyage | Thèse de Jean Duvignaud | Sociologie du théâtre | Carrière diplomatique | Carrière universitaire;;Personnes citées : Arland, Janine | Astier, Christine;;5 rue Sébastien Bottin - Paris (France) VIIe | Montevideo (Uruguay) | Ile de Ré | Pérou | Bolivie | Espagne | Maroc | Machu-Picchu (Pérou) | Andes | Tunis | Téhéran (Iran) | Brinville | 253 Boulevard Raspail - Paris (France) XIVe;Instituto de Ciencias Sociais - Montevideo - Uruguay | Unesco;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;16 novembre 1962;ARL59;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-11-16;France | Tunisie;1948-1983;Personnel | N.R.F. (1919-) | Chronique sociologique | Visite des Arland en Tunisie;Jean Duvignaud invite pour la première fois Arland, Marcel à venir le visiter et faire une conférence en Tunisie. Il s'insurge d'une chronique de M. Deguy sur un ouvrage de G. Gurvitch.;Personnes citées : Arland, Janine | Astier, Christine | Deguy, Michel  (1930-2022);Gurvitch, Georges, Dialectique et sociologie, Flammarion, 1962;108 avenue Bourguiba - Carthage;Ministère des Affaires Culturelles de Tunisie | Ambassade de France en Tunisie;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;03 décembre 1962;ARL60;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Astier, Christine;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-12-03;France | Tunisie;1948-1983;Personnel | Chronique sociologique | Visite des Arland en Tunisie;;Personnes citées : Arland, Janine | Deguy, Michel  (1930-2022);Lévi-Strauss, Claude, La Pensée sauvage, Plon, 1962;Sidi Bou Said | Paris (France);Ambassade de France en Tunisie | Editions Gallimard;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;14 décembre 1962;ARL61;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Astier, Christine;Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1962-12-14;France | Tunisie;1948-1983;Personnel | Visite des Arland en Tunisie;Notes : La carte postale représente le portail de la nouvelle maison de Jean et Christine à Sidi Bou Said (Tunisie).;Personnes citées : Arland, Janine;;Dar Patou - Sidi Bou Said - Tunisie;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;06 mars 1963;ARL62;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1963-03-06;France | Tunisie;1948-1983;Edition | Chronique littéraire | Visite des Arland en Tunisie;En P.S.: Jean Duvignaud déplore que la N.R.F. ne publie pas l'article qu'il devait faire sur Atlan, Jean-Michel et demande à Arland, Marcel de l'annoncer à sa place à Atlan, Denise.;Personnes citées : Clancier, Georges-Emmanuel (1914-2018) | Atlan, Denise | Atlan, Jean-Michel (1913-1960);Clancier, Georges-Emmanuel (dir.), Ecrivains Contemporains, Mazenod, 1965;Dar Patou - Sidi Bou Said - Tunisie;Editions Mazenod | L'Express | Grasset;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
